epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,3688.48,0.4181,0.44638,1.00306,0.7338,0.73417,0.75819,0.65132,0.64137,0.99069,1.16915,5.78379e-05,5.78379e-05,5.78379e-05
176,3709.04,0.41327,0.43547,0.98947,0.73659,0.73175,0.76153,0.65547,0.63939,0.96044,1.17066,5.57738e-05,5.57738e-05,5.57738e-05
177,3729.52,0.39955,0.42328,0.99046,0.71415,0.73224,0.75462,0.64788,0.64213,1.007,1.16826,5.37096e-05,5.37096e-05,5.37096e-05
178,3750.17,0.41103,0.43457,0.99292,0.725,0.73349,0.75762,0.65129,0.64426,0.98346,1.1748,5.16454e-05,5.16454e-05,5.16454e-05
179,3770.79,0.40804,0.42685,0.99487,0.75797,0.71545,0.75141,0.65224,0.64276,1.00848,1.17391,4.95813e-05,4.95813e-05,4.95813e-05
180,3791.4,0.41375,0.42948,0.98884,0.75737,0.70592,0.73798,0.64124,0.64286,1.02096,1.17482,4.75171e-05,4.75171e-05,4.75171e-05
181,3812.09,0.40656,0.42324,0.98806,0.76637,0.70261,0.75086,0.64895,0.63816,1.01911,1.17526,4.5453e-05,4.5453e-05,4.5453e-05
182,3832.76,0.40218,0.42071,0.99691,0.76074,0.69022,0.74017,0.64123,0.64345,1.02423,1.17645,4.33888e-05,4.33888e-05,4.33888e-05
183,3853.37,0.40421,0.42009,0.9855,0.75516,0.7067,0.74533,0.642,0.64871,1.0409,1.17557,4.13247e-05,4.13247e-05,4.13247e-05
184,3874.27,0.41017,0.43132,0.9901,0.77034,0.70883,0.75241,0.64779,0.64931,1.02759,1.18179,3.92605e-05,3.92605e-05,3.92605e-05
185,3894.98,0.40386,0.41253,0.98672,0.75237,0.72397,0.75162,0.64525,0.65038,1.00387,1.18479,3.71964e-05,3.71964e-05,3.71964e-05
186,3915.6,0.39925,0.42941,0.98756,0.77047,0.71588,0.7536,0.64835,0.64649,1.00196,1.18217,3.51322e-05,3.51322e-05,3.51322e-05
187,3936.24,0.39808,0.42597,0.99035,0.77086,0.71228,0.74969,0.6446,0.64827,1.01086,1.18042,3.30681e-05,3.30681e-05,3.30681e-05
188,3956.69,0.39548,0.41383,0.98607,0.76807,0.71673,0.74936,0.64246,0.64355,1.0147,1.17617,3.10039e-05,3.10039e-05,3.10039e-05
189,3977.31,0.40326,0.41941,0.99165,0.76366,0.70943,0.74858,0.6432,0.64947,1.01472,1.18044,2.89398e-05,2.89398e-05,2.89398e-05
190,3998.03,0.39722,0.40863,0.98052,0.76084,0.72242,0.75209,0.64667,0.65168,1.01277,1.18024,2.68757e-05,2.68757e-05,2.68757e-05
191,4032.15,0.31776,0.33978,0.93644,0.75455,0.71309,0.74061,0.63517,0.65779,1.02494,1.18908,2.48115e-05,2.48115e-05,2.48115e-05
192,4052.6,0.30513,0.30793,0.91743,0.73574,0.72321,0.74001,0.63927,0.6571,1.02016,1.18905,2.27474e-05,2.27474e-05,2.27474e-05
193,4073.59,0.31007,0.30322,0.92438,0.74397,0.71694,0.74086,0.63893,0.65696,1.00868,1.19159,2.06832e-05,2.06832e-05,2.06832e-05
194,4093.91,0.29891,0.29184,0.91521,0.74097,0.72112,0.74548,0.64123,0.65437,1.00317,1.19,1.86191e-05,1.86191e-05,1.86191e-05
195,4114.56,0.30612,0.30139,0.92064,0.74542,0.70847,0.74342,0.64256,0.65118,1.00688,1.18533,1.65549e-05,1.65549e-05,1.65549e-05
196,4135.06,0.2957,0.28909,0.91332,0.72839,0.72794,0.74476,0.64312,0.64947,1.00518,1.18307,1.44908e-05,1.44908e-05,1.44908e-05
197,4155.7,0.29668,0.29136,0.91395,0.72394,0.72988,0.74791,0.64514,0.64777,1.00259,1.18118,1.24266e-05,1.24266e-05,1.24266e-05
198,4175.38,0.2936,0.28546,0.91835,0.74011,0.71998,0.7499,0.64664,0.64385,0.99134,1.17754,1.03625e-05,1.03625e-05,1.03625e-05
199,4195.77,0.29454,0.28827,0.91889,0.73031,0.72838,0.74977,0.64671,0.6416,0.98429,1.17699,8.2983e-06,8.2983e-06,8.2983e-06
200,4216.13,0.29635,0.28197,0.91088,0.74277,0.7191,0.74938,0.64788,0.64466,0.98495,1.18051,6.23415e-06,6.23415e-06,6.23415e-06
